2025-09-09,1
2025-09-10,1
2025-09-11,2
2025-09-17,1
2025-09-20,6
2025-09-21,2
2025-09-22,2
2025-09-23,4
2025-09-24,2
2025-09-26,2
2025-09-28,4
2025-10-01,6
2025-10-02,12
2025-10-03,6
2025-10-06,2
2025-10-08,8
2025-10-09,2
2025-10-17,2
2025-11-07,2
2025-11-15,14
2025-11-17,4
2025-11-27,2
2025-11-28,2
2025-12-01,10
2025-12-02,8
2025-12-03,10
2025-12-04,4
2025-12-07,2
2025-12-08,4
2025-12-09,6
2025-12-10,4
2025-12-11,6
2025-12-12,2
2025-12-13,4
2025-12-15,4
2025-12-16,16
2025-12-17,2
2025-12-19,2
2025-12-21,4
2025-12-23,2
2025-12-24,4
2025-12-25,8
2025-12-26,6
2025-12-27,6
2025-12-31,2
2026-01-01,2
2026-01-02,2
2026-01-04,2
2026-01-05,2
